	Batf	Irf4	Maf	Stat3	Rorc	Fosl2	Nfe2l2	Hif1a	Ikzf3	Etv6	Kdm6b	Jmjd6	Id2	Ski	Lef1	Atf6	Trib3	Sirt2	Prkrir	Satb1	Nfatc2	Crem	Ddit3	Aes	Inhba	Zfp36l2	Egr2	Bcl11b
2310008h09rik	-0.913468899772	0	0	0	0	-0.971416735708	0	0	-0.930500351326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310011j03rik	0	0	0	0	0	0	0	0.926212605849	0	0	0.865017284503	0	0	0	0	0	0.903073326761	0	0	0	0	0	0	0	0	0	0	0
2310014l17rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.99899845836
2310016c08rik	0	0.976555067179	0	0.983279449307	0	0.933010172673	0	0.999405912462	0.962796344209	0	0	0	0.961797588349	0	0	0	0.862072676709	0	0	0	0	0	0	-0.903311904188	0	0	0	0
2310016m24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.953613817271	0	0.977024310234	0	0	0.961629694045	0	0	0	0	0	0	0
2310021p13rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936824386863	0	0	0	0	0	0	0	0	0	0	-0.894880077187	0	-0.972565100207
2310022a10rik	-0.880690696674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310022b05rik	0.856971272854	0	0	0.926160946063	0	0	0	0.997141491849	0.891630684191	0	0	0	0	0	0	0	0.917718876055	0	0	0	0	0	0	0	0	0	0	0
2310028h24rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.868573199764	0	0	0	0	0	0	0	0	0	0	0
2310028o11rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.935128223894	0.942524183237	0	0	0	0	0	0	0	0	0	0	0
2310030n02rik	0	0	0	0	0	0	0.935765361253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310033p09rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.882583662811	0	0	0	0	0
2310037i24rik	0	0	0	0	0	0	0	0	-0.915136387948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310039h08rik	0	0	0	0	0	0.964173938499	0	0	0	0	0	0	0	0	0	0.949567134044	0	0	0	0	0.937022416042	0	0	0	0	0	0	0
2310044g17rik	0	0.89238836105	0	0	0	0.920370745063	0	0.902642828545	0	0	0.995888742041	0.986038942869	0	0	0.984751753204	0	0	0.975147338014	0.990731373418	0.992427536388	0.977803512004	0.99227255703	0	0	0	0.989306424325	0.993223958087	0.993637236374
2310045n01rik	0	0	0	0	0	0	0	0	-0.907443918912	0	0	0	0	0	0	0	0	0	0	0	0	-0.943724895913	-0.962680775644	0	-0.929913059893	-0.944369867755	-0.938297693832	0
2310046o06rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.852799745145	0	0	0	0	0	0	0	0	0	0	0
2310047m10rik	0	0	0	0	0	0	0	0.968995518514	0.884084050472	0	0	0	0	0	0.969654180783	0	0	0	0	0	0	0	0	0	0	0	0	0
2310057m21rik	0	0	0	0	0	0	0	0	-0.952224890669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310067b10rik	0	0	0	0	0	0	0	0	0	0	0.921201606619	0	0	0	0.984441794489	-0.956959927847	0	0	0	0	0	0	0	0	0	-0.944637295103	0	0
2400001e08rik	0	0	0	0	0	0	0	0.875456866231	0	0	0	0	0	0	0	0.933358876227	0.909664254442	0	0	0	0.97266336331	0	0	0	0	0	0	0
2410001c21rik	0	0	-0.906568225436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002f23rik	0	0	0	0	0	0	0	0	-0.933866789718	0	0	0	0	0	0.929049589089	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002i01rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91139916225	0	0	0	0	0	0	0	0	0	0	0	0	0
2410004b18rik	0	0	0	0	0	-0.917752981028	0	0	-0.874314389689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410006h16rik	0	0	0	0	0	0.973954857957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410015m20rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.864608311199	0	0	0	0	0	0	-0.964054618103	0	-0.979004331274	0	0	0
2410016o06rik	0	0	0	0	0	0	0	0	-0.91449665978	0	0.911274317768	0	0	0	0.945795969676	0	0	0	0	0	0	0	0	0	0	0	0	0
