Hybridization REF_at	Iron01	Iron02	Iron03	Iron04	Iron05	Iron06	Iron07	Iron08	Iron09	Iron10	Iron11	Iron12	Iron13	Iron14	Iron15	Iron16	Iron17	Iron18	Iron19	Iron20	Iron21	Iron22	Iron23	Iron24
Composite Element REF_at	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2	normalized log 2
GBAA1538_at	12.26292699	12.34314068	12.26145081	12.27675381	12.27411667	12.37083308	12.26961956	12.17130397	12.23060193	12.23095043	12.23472694	12.18611477	12.28594021	12.27986758	12.18314391	12.19023434	11.74342987	11.79710843	12.00585441	11.41040875	11.6910765	11.67004364	11.74706635	11.67829265
GBAA1539_at	12.53922869	12.55468453	12.51725946	12.51094367	12.53136854	12.54077779	12.52981269	12.45931204	12.55312844	12.5350648	12.5129943	12.51560528	12.54040268	12.54893831	12.50226197	12.51157608	12.47002049	12.47500252	12.60196531	12.28599311	12.39889276	12.32648541	12.51644054	12.58222187
GBAA1541_at	11.41989489	11.42229988	11.38487755	11.38485584	11.39633888	11.34939518	11.36563806	11.45982738	11.34110025	11.1830819	11.32569805	11.29729369	11.38475965	11.35855535	11.25284126	11.35674341	11.02931569	11.00473295	11.05862737	10.95454056	11.03297082	11.1750287	10.82152636	10.8820292
GBAA1542_at	12.27429909	12.19042801	12.28422239	12.32082537	12.17870666	12.21175818	12.26911394	12.35947	12.41672145	12.35948071	12.41010244	12.51447231	12.32203082	12.29750624	12.38640113	12.42438164	12.30398424	12.1999214	12.06614208	12.03114984	12.29800699	12.29252053	11.87125222	12.03243128
GBAA1543_at	12.60018373	12.6976549	12.80535367	12.86766388	12.49371724	12.55144782	12.70680212	12.85885334	12.85613057	13.01051933	13.05485128	13.04949033	13.01054907	12.77365422	12.91526657	12.97962757	13.36096637	13.22718818	12.55713693	12.78049783	13.10677356	12.75154046	13.09271711	13.05734072
GBAA1544_at	13.59469338	13.64143904	13.92224188	13.90139399	13.61482009	13.70734933	13.87121817	13.89710915	13.77155927	13.80552897	13.88989982	13.93759044	13.86169442	13.88427833	13.96097107	13.98859703	14.23334988	14.15992882	13.8575514	13.88713547	14.27108812	14.13252074	14.36501703	14.23600135
GBAA1545_at	13.73179872	13.78723745	14.04036066	13.99610015	13.76520961	13.83858219	14.01127452	13.99889859	13.93690346	13.91759302	14.0328846	14.11000847	14.01767605	14.00921376	14.11711503	14.06946423	14.32955528	14.29339476	13.95840008	14.03740357	14.35157694	14.20327139	14.44978863	14.4029217
GBAA1546_at	13.46228399	13.50619154	13.76258685	13.75336835	13.47688923	13.54476944	13.72829659	13.72380576	13.6601674	13.63153568	13.75321341	13.80754914	13.76080199	13.74874913	13.83941908	13.83520041	14.1185706	14.05612534	13.65685387	13.74009211	14.1669458	13.96677586	14.21909901	14.17908526
GBAA1547_at	11.69218769	11.6746293	11.61751955	11.58579074	11.64939385	11.66471173	11.62234059	11.60052456	11.587745	11.70274554	11.84227333	11.84742348	11.77752951	11.69736017	11.74844374	11.6709908	11.916176	12.02065543	12.03658627	12.24815947	11.94778145	12.12869809	12.14491682	11.82186934
GBAA1548_at	11.22957921	11.21741081	11.00064402	11.07085729	11.04225333	11.20993367	11.03953826	11.06133696	11.19627747	11.2441171	11.37136695	11.34305794	11.26955167	11.23780163	11.30785419	11.15543064	11.57181175	11.80847224	11.83789285	12.07088597	11.64210478	11.87341648	11.53936831	11.48223268
GBAA1549_at	10.67069117	10.60420547	10.42936519	10.39138736	10.60918299	10.52746073	10.4476743	10.45485068	10.44915683	10.45191416	10.53300542	10.45809164	10.55673332	10.475945	10.52150214	10.53833999	10.56212311	10.7826304	10.38637559	10.76422567	10.66342122	10.81821468	10.24158257	10.14860416
GBAA1550_at	8.207025132	8.214815835	7.927797555	7.892895008	8.236032347	8.31544819	8.044310233	7.940522038	7.858612957	7.879958684	7.781186021	7.406879848	8.146075419	8.180559175	8.056125771	8.041239817	7.957689417	8.424732172	7.386426758	7.858303726	8.411314223	8.923999865	7.370880713	7.342144144
GBAA1551_at	12.85152093	12.69982042	12.40772831	12.5193709	12.66714604	12.55987426	12.41899131	12.53479506	12.59776125	12.29158317	12.09520055	12.23353005	12.5004566	12.37360606	12.23514713	12.35547202	11.52079985	11.28211781	11.80255139	11.70419062	11.50877843	11.77094733	10.73196231	11.10650659
GBAA1552_at	7.349584726	7.28054681	7.077947902	6.903582612	7.400524669	7.189766518	7.202355896	6.939714515	7.162467357	7.123606717	7.119025633	7.101354356	7.269477665	7.033222898	7.059292207	7.080016589	6.93885057	6.794066763	7.092274674	6.920478994	6.744065109	6.968733496	6.995357848	7.072562743
